,ma_khach_hang,ngay_binh_luan,gio_binh_luan,ma_san_pham,word_pro3,so_sao,word_pro4,negative_words,negative_count,positive_words,positive_count,star_cleaned,joined_positive_words,joined_negative_words
6658,2052,14/09/2022,9:58,422203145,đợt mùi hắc khó_chịu bết không_bật,1,đợt mùi hắc khó chịu bết không bật,"['hắc', 'khó chịu']",2,[],0,1,,"hắc, khó_chịu"
6659,251,16/08/2021,15:43,422206648,hàng chưa_thể thế_này không_rõ hàng tặng thành_phố,4,hàng chưa thể thế này không rõ hàng tặng thành phố,[],0,[],0,5,,
6660,140,22/05/2023,20:02,351700026,nhạy_cảm mỏng cân_nhắc kĩ tdc vật_lý tảo biển rát khỏe mùi hương_mát mẻ_mê lắm ửng đỏ nách sạm màu,5,nhạy cảm mỏng cân nhắc kĩ tdc vật lý tảo biển rát khỏe mùi hương mát mẻ mê lắm ửng đỏ nách sạm màu,['rát'],1,['mát'],1,5,mát,rát
6663,550,10/2/2022,13:50,422216416,hàng hasaki yên_tâm chống nắng laroche không_bị vón vệt trắng lớp serum dưỡng không_tạo_màng chống nắng mượt,5,hàng hasaki yên tâm chống nắng laroche không bị vón vệt trắng lớp serum dưỡng không tạo màng chống nắng mượt,['vón'],1,['trắng'],1,5,trắng,vón
6664,183,26/07/2021,20:47,422206648,ntt tốt không_bị nổi mụn_ẩn cảm_giác_tẩy sạch chống nắng,5,ntt tốt không bị nổi mụn ẩn cảm giác tẩy sạch chống nắng,[],0,"['tốt', 'tẩy sạch']",2,5,"tốt, tẩy_sạch",
6665,1081,1/7/2022,19:49,422204906,tẩy chống nắng sample garnier kích_ứng cổ,3,tẩy chống nắng sample garnier kích ứng cổ,[],0,[],0,5,,
6666,116,29/06/2024,20:02,422206648,tẩy sạch dịu nhẹ không_ưng nắp cứng_mở đau bật đứt khắc_phục lỗi,5,tẩy sạch dịu nhẹ không ưng nắp cứng mở đau bật đứt khắc phục lỗi,['lỗi'],1,"['tẩy sạch', 'dịu nhẹ', 'ưng']",3,5,"tẩy_sạch, dịu_nhẹ, ưng",lỗi
6667,721,16/04/2023,12:46,422216594,phẩm tốt,5,phẩm tốt,[],0,['tốt'],1,5,tốt,
6669,1624,16/06/2022,9:42,422206248,mùi gắt cảm_giác hạt liti ẻm rát mềm_ẩm đỡ đổ dầu,4,mùi gắt cảm giác hạt liti ẻm rát mềm ẩm đỡ đổ dầu,['rát'],1,[],0,5,,rát
6670,3084,3/10/2022,23:22,422212892,nổi mụn,1,nổi mụn,[],0,[],0,1,,
6671,2782,17/04/2021,17:29,418800004,thành_phần lành_tính đêm láng_mướt thích mụn cực k nhạy_cảm cực k dịu nhẹ_bì cầm_chắc,5,thành phần lành tính đêm láng mướt thích mụn cực k nhạy cảm cực k dịu nhẹ bì cầm chắc,[],0,"['thích', 'dịu nhẹ']",2,5,"thích, dịu_nhẹ",
6672,3229,26/03/2024,13:59,422204231,đổ dầu trời chảy dầu láng mịn thâm_mụn,4,đổ dầu trời chảy dầu láng mịn thâm mụn,['thâm'],1,['mịn'],1,5,mịn,thâm
6673,1451,2/3/2023,21:06,422210980,ưng dùng_tích sạch tốt_nhiên mùi hóa nồng_xíu khô treatment căng khô dưỡng ẩm_liền khô_kị mùi nồng xét tổng_thể tương_đối tốt toàn_diện,4,ưng dùng tích sạch tốt nhiên mùi hóa nồng xíu khô treatment căng khô dưỡng ẩm liền khô kị mùi nồng xét tổng thể tương đối tốt toàn diện,"['nồng', 'mùi nồng']",2,"['ưng', 'tốt', 'tốt']",3,5,"ưng, tốt, tốt","nồng, mùi_nồng"
6674,2342,2/5/2023,9:51,308500009,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
6675,2454,28/06/2021,19:04,422208972,không_tệ không_quá,3,không tệ không quá,['tệ'],1,[],0,1,,tệ
6676,332,11/7/2020,19:30,422206648,thích dầu cực k nhạy_cảm tẩy mụn liền tẩy oreal hôm trưa mệt kịp tẩy chống nắng nằm ngủ dậy căng ẩm không_lên mụn chứng_tỏ độ lành_tính thích giá thế_này,5,thích dầu cực k nhạy cảm tẩy mụn liền tẩy oreal hôm trưa mệt kịp tẩy chống nắng nằm ngủ dậy căng ẩm không lên mụn chứng tỏ độ lành tính thích giá thế này,[],0,"['thích', 'thích']",2,5,"thích, thích",
6677,3897,24/09/2022,6:23,223600003,bọt thích đầu khô dầu cảm_giác sạch,5,bọt thích đầu khô dầu cảm giác sạch,[],0,['thích'],1,5,thích,
6678,715,20/04/2023,10:06,100230064,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
6679,183,14/09/2022,14:00,422211446,tẩy chân_ái êm mụn_xài ổn_tẩy cảm_giác sạch không_khô,5,tẩy chân ái êm mụn xài ổn tẩy cảm giác sạch không khô,[],0,"['chân ái', 'êm', 'ổn']",3,5,"chân_ái, êm, ổn",
6680,3273,18/04/2024,16:56,422206102,mặt_nạ tốt mùi dễ_chịu chất,5,mặt nạ tốt mùi dễ chịu chất,[],0,"['tốt', 'dễ chịu']",2,5,"tốt, dễ_chịu",
6681,2485,30/10/2021,8:56,422211997,độ chống nắng nhiêu chất tiệp không_bị vón_cục,5,độ chống nắng nhiêu chất tiệp không bị vón cục,['vón'],1,[],0,5,,vón
6682,831,2/11/2024,18:54,422210400,hài_lòng chống nắng kiềm_dầu giá gấp nhắm_mắt_đại dầu rocpoche khó_chịu apply ổn tầm hồi lớp finish đẹp laroc laroc vàng,5,hài lòng chống nắng kiềm dầu giá gấp nhắm mắt đại dầu rocpoche khó chịu apply ổn tầm hồi lớp finish đẹp laroc laroc vàng,['khó chịu'],1,"['hài lòng', 'ổn']",2,5,"hài_lòng, ổn",khó_chịu
6683,1469,13/03/2022,19:53,207300009,tạm ổn,4,tạm ổn,['tạm'],1,['ổn'],1,5,ổn,tạm
6684,1084,2/3/2022,22:39,422204906,màu hồng_sài thích lắm,5,màu hồng sài thích lắm,[],0,['thích'],1,5,thích,
6685,112,9/8/2024,9:58,422204259,shop hàng không_thấy tặng ntt tím,2,shop hàng không thấy tặng ntt tím,[],0,[],0,1,,
6686,682,30/04/2023,11:15,422205163,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
6687,1603,29/09/2022,9:08,422208181,thâm mụn_viêm lắm tầm tuần viêm rõ_rệt,5,thâm mụn viêm lắm tầm tuần viêm rõ rệt,['thâm'],1,[],0,5,,thâm
6688,312,25/11/2020,18:09,318900005,dưỡng hồi trưa test thích đọc bảng thành_phần toàn yên_tâm,5,dưỡng hồi trưa test thích đọc bảng thành phần toàn yên tâm,[],0,['thích'],1,5,thích,
6689,1484,25/04/2021,16:29,204900159,tín_đồ roche posay tuyệt_vời,5,tín đồ roche posay tuyệt vời,[],0,['tuyệt vời'],1,5,tuyệt_vời,
6690,1234,10/3/2024,10:53,422212331,phấn_xài không_bị xước sơ_mình chất tốt,5,phấn xài không bị xước sơ mình chất tốt,[],0,['tốt'],1,5,tốt,
6691,969,15/02/2023,16:09,422208181,tuýt tốt,5,tuýt tốt,[],0,['tốt'],1,5,tốt,
6692,297,25/03/2021,22:14,422211489,baifern thử hồi trưa tẩy velvet tint tẩy sạch_sẽ lắm,5,baifern thử hồi trưa tẩy velvet tint tẩy sạch sẽ lắm,[],0,['tẩy sạch'],1,5,tẩy_sạch,
6693,2729,11/4/2023,5:37,422211276,không_muốn nâng tone dầu mụn thấm kiềm dầu tốt trôi,5,không muốn nâng tone dầu mụn thấm kiềm dầu tốt trôi,[],0,['tốt'],1,5,tốt,
6694,2349,1/5/2023,12:01,308500018,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
6695,2611,1/7/2022,22:28,371600006,túi_tiền rẻ kết_hợp dưỡng ẩm_đàn hồi,5,túi tiền rẻ kết hợp dưỡng ẩm đàn hồi,[],0,['hợp'],1,5,hợp,
6697,182,29/03/2021,21:23,422201374,môi siêu_mịn lớp ẩm môi,5,môi siêu mịn lớp ẩm môi,[],0,['mịn'],1,5,mịn,
6698,2363,30/04/2023,14:09,308500013,dễ_dàng thoải_mái thư_giản,5,dễ dàng thoải mái thư giản,[],0,"['dễ dàng', 'thoải mái']",2,5,"dễ_dàng, thoải_mái",
6699,2409,23/11/2022,11:12,308500015,mùi cồn,5,mùi cồn,['mùi cồn'],1,[],0,5,,mùi_cồn
6700,4363,15/10/2022,13:25,213300001,chống nắng lắm dầu thích dạng chống nắng chống nắng biore thấm lắm thấm mát_mát học trường tiếng nma đi khô_ráo không_bóng dầu,5,chống nắng lắm dầu thích dạng chống nắng chống nắng biore thấm lắm thấm mát mát học trường tiếng nma đi khô ráo không bóng dầu,['bóng'],1,"['thích', 'mát', 'mát']",3,5,"thích, mát, mát",bóng
6701,662,11/6/2023,12:20,422216594,đỉnh tiền ní,5,đỉnh tiền ní,[],0,['đỉnh'],1,5,đỉnh,
6702,96,11/8/2023,16:10,256700017,nửa,5,nửa,[],0,[],0,5,,
6703,747,26/10/2022,14:44,422207413,thích ké không_mụn không_bí_trộm vía nâng_tông ổn,5,thích ké không mụn không bí trộm vía nâng tông ổn,[],0,"['thích', 'nâng tông', 'ổn']",3,5,"thích, nâng_tông, ổn",
6704,1490,25/08/2022,13:15,422206537,chân_ái thử mụn nhạy_cảm hợp mùi thơm độ sạch công_nhận sạch ạ_rửa không_hề khô mềm_thích lắm sạch mụn,5,chân ái thử mụn nhạy cảm hợp mùi thơm độ sạch công nhận sạch ạ rửa không hề khô mềm thích lắm sạch mụn,[],0,"['chân ái', 'hợp', 'thơm', 'thích']",4,5,"chân_ái, hợp, thơm, thích",
6705,172,12/11/2022,22:04,422211447,chân_ái,5,chân ái,[],0,['chân ái'],1,5,chân_ái,
6706,2272,15/07/2023,10:45,422208183,không_hợp,5,không hợp,['không hợp'],1,['hợp'],1,5,hợp,không_hợp
6707,231,9/1/2022,11:37,205100136,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
6708,477,12/12/2022,9:29,204900159,sạch thích lắm,5,sạch thích lắm,[],0,['thích'],1,5,thích,
6709,719,17/04/2023,19:48,200400004,tốt lắm,5,tốt lắm,[],0,['tốt'],1,5,tốt,
6710,357,13/11/2022,8:28,422207414,chân ái_đời khả_năng kiềm dầu_ổn lớp finish cực k đẹp khả_năng chống nắng tốt kết_hợp m_phẩm chống nắng ưng trời ưng bảo trắng mịn dầu mụn dầu lắm ổn mãi chống nắng skin,5,chân ái đời khả năng kiềm dầu ổn lớp finish cực k đẹp khả năng chống nắng tốt kết hợp m phẩm chống nắng ưng trời ưng bảo trắng mịn dầu mụn dầu lắm ổn mãi chống nắng skin,[],0,"['chân ái', 'ổn', 'tốt', 'hợp', 'ưng', 'ưng', 'trắng', 'mịn', 'ổn']",9,5,"chân_ái, ổn, tốt, hợp, ưng, ưng, trắng, mịn, ổn",
6711,277,15/06/2021,16:11,205100137,tẩy yêu_thích tẩy sạch chống nắng không_bị khó_chịu tẩy không_gây kích_ứng không_nhờn rít,5,tẩy yêu thích tẩy sạch chống nắng không bị khó chịu tẩy không gây kích ứng không nhờn rít,"['khó chịu', 'nhờn rít']",2,"['yêu', 'thích', 'tẩy sạch']",3,5,"yêu, thích, tẩy_sạch","khó_chịu, nhờn_rít"
6712,380,22/04/2024,15:35,201600182,dạng khả_năng bọt tốt sạch sâu ẩm_tự_nhiên đem cảm_giác tươi_mát tuần mụn sưng viêm mụn đầu đen điều_tiết_lượng bã_nhờn không_làm khô bề_mặt mịn_màng thông_thoáng trôm_vía dầu mụn nhạy_cảm_sài không_kích_ứng hiệu_quả,5,dạng khả năng bọt tốt sạch sâu ẩm tự nhiên đem cảm giác tươi mát tuần mụn sưng viêm mụn đầu đen điều tiết lượng bã nhờn không làm khô bề mặt mịn màng thông thoáng trôm vía dầu mụn nhạy cảm sài không kích ứng hiệu quả,['nhờn'],1,"['tốt', 'mát', 'mịn', 'hiệu quả']",4,5,"tốt, mát, mịn, hiệu_quả",nhờn
6713,679,2/5/2023,10:00,422205162,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
6714,1977,22/03/2023,10:29,249500027,lại_lại chất chống nắng skin không_hợp liên_hệ điện_thoại zalo hãng hasaki,5,lại lại chất chống nắng skin không hợp liên hệ điện thoại zalo hãng hasaki,['không hợp'],1,['hợp'],1,5,hợp,không_hợp
6715,2442,30/08/2020,22:36,308500004,thương naruko chân_lông không,5,thương naruko chân lông không,[],0,[],0,5,,
6716,2054,18/07/2022,10:08,422207413,chống nắng sunplay tuyệt_vời nhiêu đổi hãng,5,chống nắng sunplay tuyệt vời nhiêu đổi hãng,[],0,['tuyệt vời'],1,5,tuyệt_vời,
6717,1136,9/8/2024,17:17,422211240,sần kích_ứng,4,sần kích ứng,[],0,[],0,5,,
6718,1706,13/09/2024,20:58,100220035,cầu lần_phẩm tốt,5,cầu lần phẩm tốt,[],0,['tốt'],1,5,tốt,
6719,1831,28/06/2021,8:08,422216602,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
6720,1276,13/05/2022,10:10,422216603,hàng bọc túi_khí đập ảnh_hưởng,4,hàng bọc túi khí đập ảnh hưởng,[],0,[],0,5,,
6721,1254,22/07/2024,11:53,422208913,trừ hàng tiền bảo hasaki hàng,4,trừ hàng tiền bảo hasaki hàng,[],0,[],0,5,,
6722,688,29/04/2023,16:44,308500013,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
6723,685,30/04/2023,14:57,422205164,dễ_dàng thoải_mái,5,dễ dàng thoải mái,[],0,"['dễ dàng', 'thoải mái']",2,5,"dễ_dàng, thoải_mái",
6724,683,30/04/2023,9:27,422206537,mùi hương dễ_chịu mát ổn,5,mùi hương dễ chịu mát ổn,[],0,"['dễ chịu', 'mát', 'ổn']",3,5,"dễ_chịu, mát, ổn",
6725,1384,13/03/2022,11:19,422200306,thiên_dầu bôi mát thấm_dưỡng ẩm tốt dầu,5,thiên dầu bôi mát thấm dưỡng ẩm tốt dầu,[],0,"['mát', 'tốt']",2,5,"mát, tốt",
6726,4188,18/04/2023,15:07,422211878,không_nên kém,1,không nên kém,"['không nên', 'kém']",2,[],0,1,,"không_nên, kém"
6727,241,16/10/2021,23:03,422206648,sạch ổn đổ dầu,4,sạch ổn đổ dầu,[],0,['ổn'],1,5,ổn,
6728,1085,28/04/2023,10:00,308500018,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
6729,2989,28/02/2022,9:44,422204167,lắm chất trắng_đặc không_mùi mướt mườn mượt,5,lắm chất trắng đặc không mùi mướt mườn mượt,[],0,['trắng'],1,5,trắng,
6730,1856,28/05/2022,17:47,224100009,dịu nhẹ thời,5,dịu nhẹ thời,[],0,['dịu nhẹ'],1,5,dịu_nhẹ,
6731,1156,14/03/2022,9:45,200900037,tốt_nhẹ,5,tốt nhẹ,[],0,"['tốt', 'nhẹ']",2,5,"tốt, nhẹ",
6732,2200,9/11/2020,16:16,308500015,không_xứng_đáng giá tiền kém,1,không xứng đáng giá tiền kém,"['không xứng đáng', 'kém']",2,[],0,1,,"không_xứng_đáng, kém"
6733,816,23/02/2020,13:35,100230057,nước_tẩy ưng_ý dịu nhẹ thơm_thoảng mát không_kích_ứng không_ửng đỏ_tẩy sạch,5,nước tẩy ưng ý dịu nhẹ thơm thoảng mát không kích ứng không ửng đỏ tẩy sạch,[],0,"['ưng ý', 'dịu nhẹ', 'thơm', 'mát', 'tẩy sạch']",5,5,"ưng_ý, dịu_nhẹ, thơm, mát, tẩy_sạch",
6734,1024,18/11/2023,10:52,249500019,tạm lỗi,2,tạm lỗi,"['tạm', 'lỗi']",2,[],0,1,,"tạm, lỗi"
6735,2226,7/3/2024,7:50,200500283,mùi ngọt_xỉu dưỡng_ẩm môi cực tốt màu đo đỏ mỏ lắm,5,mùi ngọt xỉu dưỡng ẩm môi cực tốt màu đo đỏ mỏ lắm,[],0,['tốt'],1,5,tốt,
6736,4377,16/10/2018,13:39,100750038,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
6737,2928,27/03/2024,22:14,422207148,sánh bnbg ẩm không_tốt bnbg tốt tầm_giá dầu ẩm thoải_mái treat mặt_nạ,5,sánh bnbg ẩm không tốt bnbg tốt tầm giá dầu ẩm thoải mái treat mặt nạ,['không tốt'],1,"['tốt', 'tốt', 'thoải mái']",3,5,"tốt, tốt, thoải_mái",không_tốt
6738,1934,18/11/2023,12:57,422207812,tẩy chết ổn thơm,5,tẩy chết ổn thơm,[],0,"['ổn', 'thơm']",2,5,"ổn, thơm",
6739,3075,8/10/2024,23:32,357100008,hộp méo_mó biến_dạng định hộp rách bọc kín lắm miếng đè đổ nắp ảnh giá không_đòi_hỏi,4,hộp méo mó biến dạng định hộp rách bọc kín lắm miếng đè đổ nắp ảnh giá không đòi hỏi,[],0,[],0,5,,
6740,196,14/07/2022,19:48,224100022,hàng hada yên_tâm kêu kích_ứng đợt lỗ chân lông đi_nữa trình nhũ hóa k cẩn_thận tẩy dạng bổ_rẻ,5,hàng hada yên tâm kêu kích ứng đợt lỗ chân lông đi nữa trình nhũ hóa k cẩn thận tẩy dạng bổ rẻ,[],0,['cẩn thận'],1,5,cẩn_thận,
6741,2351,1/5/2023,9:36,422206537,mùi hương dễ_chịu mát ổn,5,mùi hương dễ chịu mát ổn,[],0,"['dễ chịu', 'mát', 'ổn']",3,5,"dễ_chịu, mát, ổn",
6742,2041,18/10/2022,11:00,249500027,chống nắng đợt chống nắng mùi cồn,3,chống nắng đợt chống nắng mùi cồn,['mùi cồn'],1,[],0,1,,mùi_cồn
6743,245,25/09/2021,21:50,422208807,lắm nè không_đòi hợp,5,lắm nè không đòi hợp,[],0,['hợp'],1,5,hợp,
6744,2655,13/12/2022,10:31,422203809,dạo xừ tưa lônh chừng,3,dạo xừ tưa lônh chừng,[],0,[],0,5,,
6745,2687,20/09/2020,5:19,243300007,tỉnh_lẻ tối chiều hôm hàng tốt giá rẻ ủng_hộ shop,5,tỉnh lẻ tối chiều hôm hàng tốt giá rẻ ủng hộ shop,[],0,['tốt'],1,5,tốt,
6746,1197,21/07/2021,13:01,422217029,thời làn dầu mụn sạch nhẹ_nhàng không_căng giúp mụn mà_còn nửavs bớt đổ dầu dầu mụn,5,thời làn dầu mụn sạch nhẹ nhàng không căng giúp mụn mà còn nửavs bớt đổ dầu dầu mụn,[],0,['nhẹ'],1,5,nhẹ,
6747,504,27/11/2021,12:01,251900024,mặt_nạ đắp thích lắm,5,mặt nạ đắp thích lắm,[],0,['thích'],1,5,thích,
6748,587,28/08/2023,11:19,253900006,trừ mùi khó_chịu finish đẹp nâng tone khô_ráo kiềm dầu tạm rẻ,4,trừ mùi khó chịu finish đẹp nâng tone khô ráo kiềm dầu tạm rẻ,"['khó chịu', 'tạm']",2,[],0,5,,"khó_chịu, tạm"
6749,4068,19/08/2023,20:52,422209042,tốt_rcm dầu mụn sạch,5,tốt rcm dầu mụn sạch,[],0,['tốt'],1,5,tốt,
6750,3342,7/4/2019,10:37,223600009,chống nắng chuẩn hãng thấm thấm mượt mịn tự_nhiên mùi cồn,5,chống nắng chuẩn hãng thấm thấm mượt mịn tự nhiên mùi cồn,['mùi cồn'],1,['mịn'],1,5,mịn,mùi_cồn
6751,3154,27/03/2022,17:12,308500004,tệ hàng thất_vọng,1,tệ hàng thất vọng,"['tệ', 'thất vọng']",2,[],0,1,,"tệ, thất_vọng"
6752,843,21/09/2022,20:17,422210400,khô lớp_dưỡng chống nắng mịn bóng,5,khô lớp dưỡng chống nắng mịn bóng,['bóng'],1,['mịn'],1,5,mịn,bóng
6754,2340,2/5/2023,10:56,308500015,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
6755,3208,6/1/2024,17:44,422220081,siuu thích nhm tiền,5,siuu thích nhm tiền,[],0,['thích'],1,5,thích,
6756,2984,22/11/2019,17:34,223600003,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
6757,3321,12/5/2022,10:36,422212097,đóng_gói cẩn_thận hàng,4,đóng gói cẩn thận hàng,[],0,['cẩn thận'],1,5,cẩn_thận,
6758,2147,19/05/2019,18:57,422203807,tẩy rẻ thị_trường tốt,5,tẩy rẻ thị trường tốt,[],0,['tốt'],1,5,tốt,
6759,470,10/10/2023,12:49,100230057,tốt dầu mụn sạch hẳn mụn_ẩn đỡ kết_hợp hợp cải_thiện,5,tốt dầu mụn sạch hẳn mụn ẩn đỡ kết hợp hợp cải thiện,[],0,"['tốt', 'hợp', 'hợp', 'cải thiện']",4,5,"tốt, hợp, hợp, cải_thiện",
6760,1306,2/4/2022,19:23,253900004,thiên_khô tuần nổi mụn không_bị mụn mụn_ẩn nổi sợ ngưng nma tư_vấn kiên_trì hiệu_quả nma không_kiên_nhẫn lắm vứt klezit hiệu_quả,4,thiên khô tuần nổi mụn không bị mụn mụn ẩn nổi sợ ngưng nma tư vấn kiên trì hiệu quả nma không kiên nhẫn lắm vứt klezit hiệu quả,"['bị mụn', 'sợ']",2,"['hiệu quả', 'hiệu quả']",2,5,"hiệu_quả, hiệu_quả","bị_mụn, sợ"
6761,723,14/04/2023,11:40,100230056,mink bioderma hợp không_bị khích_ứng thường_xuyên tẩy lựa_chọn tẩy_phục_hợp kĩ_lưỡng nhạy_cảm lẫn dầu,5,mink bioderma hợp không bị khích ứng thường xuyên tẩy lựa chọn tẩy phục hợp kĩ lưỡng nhạy cảm lẫn dầu,[],0,"['hợp', 'hợp']",2,5,"hợp, hợp",
6762,2682,29/03/2021,19:42,243300007,mịn,5,mịn,[],0,['mịn'],1,5,mịn,
6763,118,4/12/2023,9:02,205100137,hiệu_quả lắm,5,hiệu quả lắm,[],0,['hiệu quả'],1,5,hiệu_quả,
6764,679,2/5/2023,10:00,422205163,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
6765,670,1/9/2020,11:08,308500018,hàng quảng_cáo,3,hàng quảng cáo,[],0,[],0,5,,
6766,1397,20/07/2021,10:35,422220469,bì đẹp cầm_chắc chất mỏng nhẹ suốt thấm mùi hương dễ_chịu tổng_quan tuyệt_vời giá,5,bì đẹp cầm chắc chất mỏng nhẹ suốt thấm mùi hương dễ chịu tổng quan tuyệt vời giá,[],0,"['nhẹ', 'dễ chịu', 'tuyệt vời']",3,5,"nhẹ, dễ_chịu, tuyệt_vời",
6767,2309,29/01/2024,12:06,308500037,tốt_đáng,5,tốt đáng,[],0,['tốt'],1,5,tốt,
6768,399,4/5/2023,10:30,308500018,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
6769,3311,27/09/2023,0:31,223600009,kém không_đáp_ứng đợi,2,kém không đáp ứng đợi,['kém'],1,[],0,1,,kém
6770,4415,12/3/2024,11:17,248700105,nói_chuyện mịn tơn không_bị khô hoạt_tính hẹp lỗ chân lông mụn đầu đen hồng nhẹ tuần lá kiềm dầu sạch mụn tuần dương khô retinol hãng lạ chống nắng phẫm không_bị kích_ứng ưng bụng,5,nói chuyện mịn tơn không bị khô hoạt tính hẹp lỗ chân lông mụn đầu đen hồng nhẹ tuần lá kiềm dầu sạch mụn tuần dương khô retinol hãng lạ chống nắng phẫm không bị kích ứng ưng bụng,[],0,"['mịn', 'nhẹ', 'ưng']",3,5,"mịn, nhẹ, ưng",
6771,1552,3/6/2022,22:25,100210023,tốt nghiên dưỡng_ẩm,5,tốt nghiên dưỡng ẩm,[],0,['tốt'],1,5,tốt,
6772,1826,3/10/2023,16:05,204900025,sạch mụn_ẩn sạch dã_ái dầu lỗ chân lông,5,sạch mụn ẩn sạch dã ái dầu lỗ chân lông,[],0,[],0,5,,
6773,59,7/5/2022,18:15,318900011,cực_thích ẩm_tonner không_mùi dễ_chịu bì,5,cực thích ẩm tonner không mùi dễ chịu bì,[],0,"['thích', 'dễ chịu']",2,5,"thích, dễ_chịu",
6774,3842,14/11/2022,22:32,226200018,không_hiệu_quả lắm,2,không hiệu quả lắm,[],0,['hiệu quả'],1,1,hiệu_quả,
6775,273,26/06/2021,23:08,422211447,hợp dầu,5,hợp dầu,[],0,['hợp'],1,5,hợp,
6776,1284,24/09/2021,20:38,204900009,xài_hợp trời lựa_chọn hàng_đầu nhạy_cảm í hồi đợt chôm đau chớt nma khuyên,5,xài hợp trời lựa chọn hàng đầu nhạy cảm í hồi đợt chôm đau chớt nma khuyên,[],0,['hợp'],1,5,hợp,
6778,392,30/07/2023,14:02,422208976,bữa floxia s kê đơn tạm nivea tặng mụn bọc_tướng vội kiếm sữa_rửa mặt_thế dầu hỗn_hợp nhạy_cảm ẻm ổn không_bị khô căng,5,bữa floxia s kê đơn tạm nivea tặng mụn bọc tướng vội kiếm sữa rửa mặt thế dầu hỗn hợp nhạy cảm ẻm ổn không bị khô căng,['tạm'],1,"['hợp', 'ổn']",2,5,"hợp, ổn",tạm
6779,3803,11/5/2021,7:31,224100007,tốt cực thích,5,tốt cực thích,[],0,"['tốt', 'thích']",2,5,"tốt, thích",
6780,1486,7/2/2021,19:16,204900056,mùi khó_chịu một_chút tốt,5,mùi khó chịu một chút tốt,['khó chịu'],1,['tốt'],1,5,tốt,khó_chịu
6781,744,13/09/2021,12:30,418800004,không_giờ thất_vọng,1,không giờ thất vọng,['thất vọng'],1,[],0,1,,thất_vọng
6782,394,8/4/2021,11:57,204100003,cực_kì tốt thấm,5,cực kì tốt thấm,[],0,['tốt'],1,5,tốt,
6783,302,23/02/2021,19:04,422204259,hấkiii ẻm mê không_muốn đổi hên toàn bổ_rẻ lắm,5,hấkiii ẻm mê không muốn đổi hên toàn bổ rẻ lắm,[],0,[],0,5,,
6784,170,18/11/2022,11:10,422206648,dầu chữ mụn viêm nắp dương_nhạt ổn không_lây mụn_ẩn nắp_dương đậm_xài mụn_ẩn,4,dầu chữ mụn viêm nắp dương nhạt ổn không lây mụn ẩn nắp dương đậm xài mụn ẩn,[],0,['ổn'],1,5,ổn,
6785,2283,5/12/2023,11:47,422206541,mịn_màng bớt tiết_dầu,5,mịn màng bớt tiết dầu,[],0,['mịn'],1,5,mịn,
6786,3282,28/01/2024,12:53,213300016,cũnh tốt thử tốt bình_thường chống nắng biore nồng_nặc mùi cồn mùi thơm mát_finish đẹp dạng tán không_nâng tone lố tự_nhiên tiền tậu rẻ thử,5,cũnh tốt thử tốt bình thường chống nắng biore nồng nặc mùi cồn mùi thơm mát finish đẹp dạng tán không nâng tone lố tự nhiên tiền tậu rẻ thử,"['nồng', 'mùi cồn']",2,"['tốt', 'tốt', 'thơm', 'mát']",4,5,"tốt, tốt, thơm, mát","nồng, mùi_cồn"
